id|start|end|mean|min|max|mean_of_abs|stddev|variance|coeff_var|sum|null_cells|cells|non_null_cells
db_s1a_iw_grd_vh_20150924t043519_20150924t043544_007852_00af24_002@scaled|2015-09-24 04:35:19|2015-09-24 04:35:20|-nan|-nan|-nan|-nan|-nan|-nan|-nan|-nan|12094010|12094010|0
db_s1a_iw_grd_vh_20150924t043544_20150924t043609_007852_00af24_002@scaled|2015-09-24 04:35:44|2015-09-24 04:35:45|-15.5368186987539|-34.9929479428588|4.95342743442622|15.5368656568413|2.17058269261009|4.71142922545849|-13.9705736077372|-16276775.2261008|11046384|12094010|1047626
db_s1a_iw_grd_vh_20150929t044348_20150929t044413_007925_00b119_002@scaled|2015-09-29 04:43:48|2015-09-29 04:43:49|-15.6477454083679|-41.3592541251207|7.7918824576183|15.6478787646893|2.27178633699945|5.16101316097736|-14.5182981810567|-16392844.1014781|11046393|12094010|1047617
db_s1a_iw_grd_vh_20151023t044348_20151023t044413_008275_00ba8e_002@scaled|2015-10-23 04:43:48|2015-10-23 04:43:49|-14.0850481114364|-39.1452702243943|7.56069423699948|14.0851826245846|2.10987190829362|4.45155946940658|-14.9795150971512|-14755834.4426954|11046386|12094010|1047624
db_s1a_iw_grd_vh_20151026t161845_20151026t161910_008326_00bbe1_002@scaled|2015-10-26 16:18:45|2015-10-26 16:18:46|-15.8187903765751|-74.0880838110485|-4.9822276910637|15.8187903765751|3.00421476629124|9.02530636200231|-18.9914316757111|-782365.734444653|12044552|12094010|49458
db_s1a_iw_grd_vh_20151104t044348_20151104t044413_008450_00bf20_002@scaled|2015-11-04 04:43:48|2015-11-04 04:43:49|-14.7438013845738|-55.0735579408503|7.01386320820012|14.7439189277351|2.26129646669797|5.11346171030072|-15.3372689153554|-15445812.7436989|11046396|12094010|1047614
db_s1a_iw_grd_vh_20151111t043538_20151111t043603_008552_00c1e2_002@scaled|2015-11-11 04:35:38|2015-11-11 04:35:39|-13.3740044269233|-31.3419522464393|4.00882015638999|13.3740340456993|2.02384172714018|4.09593533651375|-15.1326533365427|-14010954.76176|11046384|12094010|1047626
db_s1a_iw_grd_vh_20151123t043538_20151123t043603_008727_00c6d2_002@scaled|2015-11-23 04:35:38|2015-11-23 04:35:39|-14.2408291595674|-38.7571357407603|3.0303452779061|14.2408479185773|2.09059494741876|4.37058723417285|-14.680289497148|-14919062.889121|11046384|12094010|1047626
db_s1a_iw_grd_vh_20151126t161044_20151126t161109_008778_00c836_002@scaled|2015-11-26 16:10:44|2015-11-26 16:10:45|-16.7106594947557|-62.3045877261296|-1.41937935382549|16.7106594947557|2.33912199492548|5.47149170714414|-13.9977838436571|-17506237.2826416|11046401|12094010|1047609
db_s1a_iw_grd_vh_20151128t044353_20151128t044418_008800_00c8da_002@scaled|2015-11-28 04:43:53|2015-11-28 04:43:54|-17.3584991957292|-65.9720307126692|6.18331599599381|17.3586063472843|2.44595418998728|5.98269189951633|-14.0908160458312|-18183531.304003|11046481|12094010|1047529
